first_use_date,fake_user_id,last_use_date,active_days,workout_times,workout_per_day,volume_total,volume_per_day,intensity_total,intensity_per_day,favorite_exercise,most_recent_exercise,stay_days,active_extent,last_to_now,high_volume_user,high_intensity_user,high_active_user,churn_user
2020-04-11,fake_id_500,2020-04-29,8,8,1.0,280,35.0,2283.840299008447,285.48003737605586,Barbell Bench Press,Dumbbell Row,19,0.42105263157894735,109,0,1,0,0.0
2020-05-22,fake_id_502,2020-07-09,13,14,1.0769230769230769,570,43.84615384615385,2907.5305494824497,223.6561961140346,Dumbbell Bench Press,Dumbbell Row,49,0.2857142857142857,38,0,1,0,0.0
2020-06-11,fake_id_506,2020-06-27,10,10,1.0,481,48.1,1367.5826219484545,136.75826219484546,Back Squat,Back Squat,17,0.5882352941176471,50,1,0,0,0.0
2020-04-18,fake_id_511,2020-07-08,23,23,1.0,772,33.56521739130435,5840.008708983859,253.913422129733,Close-Grip Bench Press,Close-Grip Bench Press,82,0.2804878048780488,39,0,1,0,0.0
2020-05-12,fake_id_514,2020-07-08,20,20,1.0,651,32.55,6989.0,349.45,Deadlift,Dumbbell Shoulder Press,58,0.3448275862068966,39,0,1,0,0.0
2020-04-26,fake_id_515,2020-07-07,24,26,1.0833333333333333,1007,41.958333333333336,4383.975469695459,182.6656445706441,Deadlift,Dumbbell Bent Over Row,73,0.3561643835616438,40,0,1,0,0.0
2020-05-28,fake_id_516,2020-05-28,1,1,1.0,18,18.0,20.41168092460379,20.41168092460379,Dumbbell Lunge,Dumbbell Lunge,1,1.0,80,0,0,0,0.0
2020-04-16,fake_id_517,2020-07-09,26,26,1.0,810,31.153846153846153,8958.459961353889,344.55615235976495,Back Squat,Deadlift,85,0.3058823529411765,38,0,1,0,0.0
2020-04-23,fake_id_518,2020-07-01,7,7,1.0,251,35.857142857142854,850.4867051918244,121.4981007416892,Dumbbell Shoulder Press,Deadlift,70,0.1,46,0,0,0,1.0
2020-04-16,fake_id_520,2020-07-10,23,23,1.0,769,33.43478260869565,1740.8895864139854,75.69085158321676,Dumbbell Bench Press,Dumbbell Bench Press,86,0.26744186046511625,37,0,0,0,0.0
2020-04-14,fake_id_521,2020-06-24,13,13,1.0,413,31.76923076923077,902.1962968674876,69.3997151436529,Deadlift,Dumbbell Lunge,72,0.18055555555555555,53,0,0,0,1.0
2020-04-13,fake_id_522,2020-07-08,42,42,1.0,2161,51.45238095238095,1945.0063956600204,46.309676087143345,Dumbbell Bench Press,Dumbbell Lunge,87,0.4827586206896552,39,1,0,1,0.0
2020-06-17,fake_id_523,2020-07-08,10,12,1.2,733,73.3,2460.7415336883455,246.07415336883454,Dumbbell Shoulder Press,Dumbbell Shoulder Press,22,0.5454545454545454,39,1,1,0,1.0
2020-06-20,fake_id_524,2020-07-09,7,7,1.0,277,39.57142857142857,1560.3596084586004,222.90851549408578,Close-Grip Bench Press,Close-Grip Bench Press,20,0.35,38,0,1,0,1.0
2020-04-12,fake_id_525,2020-07-09,15,15,1.0,653,43.53333333333333,3658.226814598435,243.88178763989566,Deadlift,Close-Grip Bench Press,89,0.16853932584269662,38,0,1,0,1.0
2020-06-04,fake_id_529,2020-07-09,11,11,1.0,642,58.36363636363637,3285.0,298.6363636363636,Barbell Bench Press,Deadlift,36,0.3055555555555556,38,1,1,0,0.0
2020-04-15,fake_id_534,2020-07-10,44,44,1.0,2176,49.45454545454545,13989.939309268739,317.9531661197441,Barbell Bench Press,Barbell Bench Press,87,0.5057471264367817,37,1,1,1,0.0
2020-04-15,fake_id_536,2020-07-03,17,19,1.1176470588235294,731,43.0,8951.65606771235,526.5680039830795,Barbell Bench Press,Barbell Bench Press,80,0.2375,44,0,1,0,0.0
2020-04-30,fake_id_537,2020-07-07,23,23,1.0,1140,49.56521739130435,6334.424980268708,275.4097817508134,Back Squat,Back Squat,69,0.3333333333333333,40,1,1,0,0.0
2020-04-28,fake_id_538,2020-07-09,9,9,1.0,219,24.333333333333332,532.9716685868767,59.21907428743074,Dumbbell Bench Press,Dumbbell Bent Over Row,73,0.1232876712328767,38,0,0,0,0.0
2020-06-19,fake_id_539,2020-06-19,1,1,1.0,48,48.0,136.07787283069192,136.07787283069192,Deadlift,Deadlift,1,1.0,58,1,0,0,1.0
2020-06-08,fake_id_546,2020-07-08,5,5,1.0,154,30.8,571.5270658889061,114.30541317778122,Barbell Bench Press,Deadlift,31,0.16129032258064516,39,0,0,0,0.0
2020-04-12,fake_id_549,2020-06-26,12,12,1.0,452,37.666666666666664,1891.482432346618,157.62353602888484,Back Squat,Back Squat,76,0.15789473684210525,51,0,1,0,0.0
2020-05-21,fake_id_550,2020-07-02,12,12,1.0,488,40.666666666666664,3943.9903475428864,328.6658622952405,Barbell Bench Press,Close-Grip Bench Press,43,0.27906976744186046,45,0,1,0,1.0
2020-05-12,fake_id_552,2020-05-12,1,1,1.0,32,32.0,63.50300732098957,63.50300732098957,Dumbbell Row,Dumbbell Row,1,1.0,96,0,0,0,1.0
2020-04-22,fake_id_553,2020-07-03,8,8,1.0,320,40.0,328.6280628861211,41.078507860765136,Dumbbell Row,Dumbbell Row,73,0.1095890410958904,44,0,0,0,0.0
2020-04-18,fake_id_554,2020-04-18,1,1,1.0,30,30.0,20.411680924603793,20.411680924603793,Dumbbell Row,Dumbbell Row,1,1.0,120,0,0,0,0.0
2020-04-15,fake_id_556,2020-07-06,15,15,1.0,837,55.8,1733.8588963177328,115.59059308784886,Back Squat,Back Squat,83,0.18072289156626506,41,1,0,0,1.0
2020-04-16,fake_id_560,2020-07-09,18,18,1.0,696,38.666666666666664,2626.302945632354,145.90571920179744,Dumbbell Bench Press,Barbell Bench Press,85,0.21176470588235294,38,0,0,0,0.0
2020-04-15,fake_id_561,2020-07-07,16,16,1.0,523,32.6875,589.0811114840656,36.8175694677541,Dumbbell Shoulder Press,Dumbbell Row,84,0.19047619047619047,40,0,0,0,0.0
2020-06-01,fake_id_562,2020-07-04,8,8,1.0,238,29.75,1224.7008554762274,153.08760693452842,Dumbbell Shoulder Press,Dumbbell Bench Press,34,0.23529411764705882,43,0,0,0,1.0
2020-06-01,fake_id_564,2020-06-29,6,6,1.0,416,69.33333333333333,873.1663506636066,145.5277251106011,Dumbbell Shoulder Press,Dumbbell Shoulder Press,29,0.20689655172413793,48,1,0,0,0.0
2020-04-11,fake_id_566,2020-04-11,1,1,1.0,20,20.0,90.0,90.0,Barbell Bench Press,Barbell Bench Press,1,1.0,127,0,0,0,0.0
2020-06-16,fake_id_567,2020-07-06,3,3,1.0,174,58.0,238.13627745371093,79.37875915123698,Dumbbell Shoulder Press,Dumbbell Lunge,21,0.14285714285714285,41,1,0,0,1.0
2020-04-14,fake_id_568,2020-04-14,1,1,1.0,60,60.0,86.18265279277155,86.18265279277155,Dumbbell Bent Over Row,Dumbbell Bent Over Row,1,1.0,124,1,0,0,1.0
2020-06-23,fake_id_573,2020-07-10,2,2,1.0,51,25.5,79.37875915123695,39.689379575618474,Dumbbell Shoulder Press,Dumbbell Shoulder Press,18,0.1111111111111111,37,0,0,0,0.0
2020-04-14,fake_id_578,2020-07-08,6,6,1.0,262,43.666666666666664,217.72459652910717,36.287432754851196,Dumbbell Bench Press,Dumbbell Bench Press,86,0.06976744186046512,39,0,0,0,0.0
2020-05-13,fake_id_579,2020-07-10,20,21,1.05,1520,76.0,1387.9943028730609,69.39971514365304,Dumbbell Bench Press,Dumbbell Bench Press,59,0.3559322033898305,37,1,0,0,0.0
2020-04-26,fake_id_580,2020-07-02,7,7,1.0,335,47.857142857142854,387.8219375674721,55.4031339382103,Dumbbell Bench Press,Dumbbell Bench Press,68,0.10294117647058823,45,1,0,0,1.0
2020-05-13,fake_id_582,2020-07-09,6,6,1.0,208,34.666666666666664,809.0,134.83333333333334,Barbell Bench Press,Barbell Bench Press,58,0.10344827586206896,38,0,0,0,1.0
2020-04-11,fake_id_583,2020-06-20,13,13,1.0,1546,118.92307692307692,2054.77587974345,158.05968305718847,Dumbbell Bench Press,Barbell Bench Press,71,0.18309859154929578,57,1,1,0,0.0
2020-04-11,fake_id_584,2020-07-02,18,18,1.0,652,36.22222222222222,1632.9344739683024,90.71858188712791,Dumbbell Row,Dumbbell Row,83,0.21686746987951808,45,0,0,0,0.0
2020-04-13,fake_id_585,2020-07-02,27,27,1.0,1640,60.74074074074074,1475.0,54.629629629629626,Dumbbell Row,Dumbbell Shoulder Press,81,0.3333333333333333,45,1,0,0,1.0
2020-05-12,fake_id_586,2020-06-13,10,10,1.0,402,40.2,3086.699748709529,308.6699748709529,Deadlift,Back Squat,33,0.30303030303030304,64,0,1,0,0.0
2020-04-13,fake_id_587,2020-07-08,45,50,1.1111111111111112,2927,65.04444444444445,4683.346789922988,104.07437310939973,Dumbbell Bent Over Row,Dumbbell Row,87,0.5747126436781609,39,1,0,1,0.0
2020-05-31,fake_id_588,2020-07-08,18,18,1.0,755,41.94444444444444,1352.8408523917956,75.15782513287753,Dumbbell Row,Dumbbell Bent Over Row,39,0.46153846153846156,39,0,0,1,0.0
2020-04-14,fake_id_589,2020-07-10,8,8,1.0,369,46.125,137.66544801371668,17.208181001714586,Dumbbell Bench Press,Dumbbell Row,88,0.09090909090909091,37,1,0,0,1.0
2020-05-11,fake_id_592,2020-07-08,13,13,1.0,579,44.53846153846154,1126.2711941286939,86.63624570220722,Dumbbell Bench Press,Dumbbell Lunge,59,0.22033898305084745,39,1,0,0,0.0
2020-04-13,fake_id_593,2020-07-10,40,40,1.0,997,24.925,2647.8486088305467,66.19621522076366,Dumbbell Row,Dumbbell Shoulder Press,89,0.449438202247191,37,0,0,1,0.0
2020-04-13,fake_id_594,2020-07-10,22,22,1.0,1170,53.18181818181818,5436.311019586142,247.10504634482461,Barbell Bench Press,Barbell Bench Press,89,0.24719101123595505,37,1,1,0,0.0
2020-04-14,fake_id_595,2020-07-09,28,28,1.0,1207,43.107142857142854,857.2905988333592,30.617521386905686,Dumbbell Bent Over Row,Dumbbell Bent Over Row,87,0.3218390804597701,38,0,0,0,0.0
2020-04-12,fake_id_596,2020-07-08,29,30,1.0344827586206897,1921,66.24137931034483,13784.5,475.32758620689657,Back Squat,Back Squat,88,0.3409090909090909,39,1,1,0,0.0
2020-04-15,fake_id_598,2020-04-15,1,1,1.0,28,28.0,684.9252932478161,684.9252932478161,Deadlift,Deadlift,1,1.0,123,0,1,0,0.0
2020-05-06,fake_id_600,2020-07-10,13,13,1.0,558,42.92307692307692,1115.8385572116738,85.83373517012875,Dumbbell Row,Dumbbell Bench Press,66,0.19696969696969696,37,0,0,0,0.0
2020-05-26,fake_id_602,2020-05-26,1,1,1.0,40,40.0,63.50300732098956,63.50300732098956,Dumbbell Bench Press,Dumbbell Bench Press,1,1.0,82,0,0,0,1.0
2020-04-27,fake_id_603,2020-05-14,4,4,1.0,359,89.75,1467.3730620242948,366.8432655060737,Back Squat,Back Squat,18,0.2222222222222222,94,1,1,0,0.0
2020-05-20,fake_id_606,2020-05-22,2,2,1.0,71,35.5,106.59433371737533,53.29716685868767,Dumbbell Row,Dumbbell Lunge,3,0.6666666666666666,86,0,0,0,0.0
2020-04-13,fake_id_613,2020-04-14,2,2,1.0,70,35.0,217.7245965291071,108.86229826455354,Dumbbell Lunge,Dumbbell Row,2,1.0,124,0,0,0,0.0
2020-04-17,fake_id_614,2020-06-05,7,7,1.0,309,44.142857142857146,419.25,59.892857142857146,Dumbbell Bent Over Row,Dumbbell Row,50,0.14,72,0,0,0,1.0
2020-04-11,fake_id_621,2020-07-05,23,23,1.0,890,38.69565217391305,459.2628208035848,19.967948730590646,Dumbbell Lunge,Dumbbell Bent Over Row,86,0.26744186046511625,42,0,0,0,0.0
2020-04-14,fake_id_625,2020-06-25,5,5,1.0,195,39.0,120.20212100044456,24.040424200088914,Dumbbell Bench Press,Dumbbell Bench Press,73,0.0684931506849315,52,0,0,0,1.0
